user_id	bucket	timestamp	block reason
25345228	treatment	20150531051729	abuse
25345461	control	20150531055512	abuse
25345545	control	20150531060207	abuse
25345286	treatment	20150531061537	abuse
25345678	treatment	20150531062632	soft username
25343888	treatment	20150531065012	hard username
25344341	control	20150531065218	hard username
25345280	treatment	20150531070412	spam
25345705	control	20150531070510	hard username
25345537	control	20150531070617	hard username
25346092	treatment	20150531071847	abuse
25346130	treatment	20150531073112	abuse
25346138	treatment	20150531073527	abuse
25346201	control	20150531074654	abuse
25346332	treatment	20150531075628	abuse
25346395	control	20150531081512	other
25346514	treatment	20150531083045	abuse
25345734	treatment	20150531083231	abuse
25344247	control	20150531090331	spam
25325712	treatment	20150531090331	spam
25346406	treatment	20150531091412	hard username
25346851	control	20150531092146	abuse
25342800	treatment	20150531094236	hard username
25345339	control	20150531095107	abuse
25346462	treatment	20150531095817	hard username
25345162	treatment	20150531095917	hard username
25342248	treatment	20150531100011	spam
25344318	treatment	20150531100126	hard username
25344396	treatment	20150531100141	hard username
25345138	treatment	20150531100220	hard username
25343569	control	20150531100256	hard username
25346598	treatment	20150531100406	hard username
25347415	control	20150531103733	hard username
25345762	treatment	20150531104610	abuse
25347362	treatment	20150531104907	abuse
25347263	control	20150531105235	hard username
25346878	treatment	20150531110447	abuse
25345706	treatment	20150531111530	soft username
25345761	control	20150531111804	soft username
25347399	control	20150531111953	soft username
25347458	treatment	20150531112135	soft username
25343491	control	20150531113022	abuse
25343136	treatment	20150531113517	abuse
25347794	treatment	20150531113548	hard username
25346481	control	20150531113550	hard username
25342875	control	20150531113923	abuse
25259037	control	20150531114058	spam
25347974	treatment	20150531120040	hard username
25348155	control	20150531122720	spam
25348360	treatment	20150531124952	hard username
25344479	control	20150531125719	abuse
25328319	control	20150531133209	abuse
25348259	control	20150531143524	abuse
25349328	treatment	20150531144834	hard username
25349546	treatment	20150531151303	hard username
25349035	control	20150531151828	spam
25349193	control	20150531151851	sockpuppetry
25348060	treatment	20150531152539	spam
25348330	treatment	20150531152620	abuse
25340735	control	20150531152623	spam
25349539	control	20150531154559	hard username
25347938	treatment	20150531154738	hard username
25345843	control	20150531155133	hard username
25349867	control	20150531160125	hard username
25343854	treatment	20150531160609	abuse
25342920	treatment	20150531164409	abuse
25350400	treatment	20150531165202	hard username
25345590	treatment	20150531165501	abuse
25344305	control	20150531174007	soft username
25350761	control	20150531174025	abuse
25343211	control	20150531174045	hard username
25344704	treatment	20150531174109	hard username
25348744	treatment	20150531175124	spam
25346384	treatment	20150531175322	spam
25350978	treatment	20150531180642	soft username
25350752	treatment	20150531182046	hard username
25350741	control	20150531182046	hard username
25350728	treatment	20150531182046	hard username
25350722	treatment	20150531182046	hard username
25350713	control	20150531182046	hard username
25344494	treatment	20150531182246	hard username
25344199	control	20150531182258	hard username
25350965	control	20150531184131	policy violation
25351465	control	20150531190527	abuse
25351748	treatment	20150531192931	soft username
25351717	control	20150531193109	hard username
25349986	treatment	20150531194545	abuse
25351857	control	20150531194637	soft username
25341917	control	20150531203114	abuse
25352370	treatment	20150531205405	abuse
