rev_id	namespace
663437779	0
663437862	0
663437878	3
663437888	0
663437979	0
663437994	0
663438014	0
663438049	0
663438089	0
663438138	0
663438146	0
663438168	0
663438166	NULL
663438179	0
663438188	2
663438194	0
663438235	0
663438250	0
663438268	0
663438300	0
663438317	0
663438334	0
663438396	3
663438433	0
663438470	0
663438495	0
663438503	0
663438504	0
663438525	0
663438529	0
663438532	0
663438568	3
663438610	0
663438628	2
663438655	0
663438678	0
663438704	0
663438712	0
663438790	0
663438824	0
663438960	0
663438978	0
663438984	0
663438997	0
663439036	0
663439076	0
663439112	0
663439133	0
663439185	2
663439206	0
663439208	0
663439211	0
663439213	0
663439322	0
663439335	0
663439337	0
663439367	0
663439371	0
663439417	2
663439433	0
663439448	4
663439459	0
663439467	0
663439472	2
663439530	0
663439564	0
663439582	0
663439629	0
663439671	0
663439702	0
663439716	0
663439735	0
663439751	0
663439749	0
663439802	2
663439813	0
663439843	0
663439869	0
663439905	2
663440008	0
663440058	0
663440096	2
663440306	0
663440354	2
663440457	0
663440517	0
663440565	3
663440630	0
663440677	0
663440723	2
663440826	0
663440894	0
663440906	0
663441247	4
663441273	2
663441328	0
663441359	4
663441389	4
663441466	4
663441564	0
663441609	0
663441611	4
663441649	0
663441697	0
663441780	0
663441909	2
663441984	2
663442278	0
663442333	4
663442391	3
663442418	2
663442452	0
663442458	2
663442519	2
663442526	0
663442638	2
663442740	0
663442750	0
663442790	0
663442948	0
663443289	3
663443293	0
663443429	0
663443486	0
663443962	0
663444002	0
663444050	0
663444091	0
663444119	0
663444378	0
663444382	4
663444450	0
663444476	0
663444778	3
663444781	0
663444854	0
663444883	0
663444895	0
663444906	0
663444941	0
663445114	0
663445141	0
663445267	0
663445373	3
663445536	0
663445622	2
663445629	0
663445660	0
663445801	2
663446006	0
663446018	0
663446048	0
663446076	4
663446296	0
663446362	0
663446400	0
663446511	0
663446582	0
663446600	0
663446625	2
663446655	0
663446714	0
663446792	2
663446909	0
663446948	0
663446972	0
663447003	0
663447059	3
663447091	0
663447102	0
663447098	0
663447106	0
663447153	0
663447168	0
663447184	2
663447221	0
663447281	0
663447378	0
663447475	4
663447519	0
663447569	0
663447571	0
663447640	0
663447664	0
663447672	0
663447790	NULL
663447812	0
663447872	0
663447908	0
663448014	0
663448025	0
663448033	0
663448215	1
663448233	0
663448329	0
663448367	0
663448442	0
663448531	0
663448643	1
663448695	NULL
663448747	0
663448782	0
663448796	NULL
663448960	0
663449005	0
663449016	0
663449032	0
663449105	0
663449123	0
663449133	0
663449159	0
663449160	0
663449161	0
663449181	0
663449302	0
663449348	0
663449393	0
663449455	0
663449506	0
663449512	0
663449547	0
663449574	0
663449671	0
663449699	0
663449718	0
663449720	0
663449774	0
663449811	0
663449809	0
663449830	0
663449844	0
663449866	0
663449893	0
663449898	0
663449960	0
663450033	2
663450073	0
663450109	0
663450144	0
663450197	0
663450334	0
663450438	0
663450449	0
663450539	0
663450569	0
663450676	0
663450841	0
663450838	2
663451053	NULL
663451223	2
663451288	0
663451539	0
663451544	0
663451572	0
663451589	4
663451703	0
663451727	0
663451752	0
663451812	2
663451824	0
663452074	2
663452159	0
663452360	0
663452371	0
663452397	0
663452420	0
663452485	2
663452509	1
663452568	0
663452615	0
663452765	0
663452780	1
663452822	0
663452838	0
663452845	0
663452918	0
663453022	0
663453073	0
663453109	0
663453146	0
663453169	0
663453181	0
663453198	0
663453227	0
663453283	0
663453280	0
663453289	0
663453361	0
663453499	0
663453715	2
663453723	0
663453828	2
663453829	1
663453889	0
663453991	0
663454000	0
663454015	2
663454035	0
663454247	0
663454259	0
663454354	0
663454360	0
663454462	0
663454509	0
663454535	0
663454619	0
663454630	0
663454666	0
663454718	3
663454722	0
663454844	0
663454903	0
663455027	0
663455028	0
663455110	0
663455116	0
663455137	0
663455173	0
663455207	0
663455238	0
663455313	0
663455326	0
663455367	4
663455651	0
663455668	4
663455720	0
663455815	10
663455841	0
663455887	0
663455915	0
663455936	0
663455968	0
663456091	0
663456240	0
663456266	4
663456325	0
663456353	0
663456374	4
663456378	0
663456446	0
663456510	0
663456539	0
663456545	0
663456553	0
663456620	0
663456683	0
663456779	0
663456804	0
663456819	2
663456836	0
663456869	0
663456898	0
663456901	0
663456911	2
663456972	0
663457006	0
663457036	10
663457121	0
663457137	10
663457200	2
663457262	0
663457282	0
663457349	2
663457420	0
663457500	0
663457508	10
663457545	0
663457584	10
663457585	0
663457590	3
663457606	0
663457660	0
663457842	0
663457905	0
663457915	0
663457985	0
663458029	0
663458037	0
663458151	0
663458282	0
663458290	10
663458297	0
663458326	10
663458368	0
663458417	0
663458433	0
663458450	0
663458511	0
663458518	2
663458618	0
663458638	0
663458678	2
663458687	0
663458684	0
663458756	0
663458829	2
663458831	0
663458920	2
663458949	0
663458962	0
663458985	0
663459041	0
663459062	0
663459110	0
663459121	0
663459144	0
663459163	0
663459184	0
663459246	0
663459256	0
663459255	3
663459351	2
663459389	0
663459404	0
663459521	0
663459588	2
663459611	2
663459649	0
663459680	0
663459733	0
663459780	0
663459839	0
663459899	0
663459920	2
663459928	1
663459945	0
663459967	0
663459972	2
663459980	0
663460079	0
663460149	0
663460163	3
663460171	0
663460174	0
663460185	3
663460261	0
663460271	0
663460294	0
663460342	0
663460362	0
663460387	0
663460388	0
663460485	2
663460498	0
663460589	3
663460610	2
663460657	0
663460687	0
663460757	3
663460789	0
663460998	3
663461026	0
663461041	3
663461057	3
663461118	0
663461130	2
663461180	0
663461260	0
663461350	0
663461362	2
663461398	0
663461465	0
663461463	2
663461498	3
663461509	0
663461542	2
663461599	2
663461623	0
663461674	0
663461726	0
663461760	3
663461768	0
663461853	1
663461862	3
663461883	2
663461903	0
663461962	2
663462003	0
663462022	0
663462071	0
663462079	2
663462145	2
663462207	2
663462225	2
663462277	3
663462342	1
663462425	0
663462440	2
663462497	0
663462558	0
663462590	0
663462621	0
663462632	3
663462690	0
663462705	2
663462716	2
663462777	0
663462820	0
663462850	3
663462963	0
663462967	3
663462990	3
663463012	2
663463051	2
663463076	0
663463093	0
663463111	0
663463170	0
663463215	0
663463226	3
663463277	0
663463284	0
663463310	0
663463334	1
663463354	0
663463360	1
663463378	2
663463428	3
663463589	1
663463631	2
663463654	3
663463682	3
663463686	2
663463698	2
663463721	3
663463737	2
663463841	3
663463914	0
663463927	2
663464014	0
663464031	0
663464077	0
663464080	0
663464112	2
663464171	2
663464175	0
663464173	2
663464252	2
663464314	2
663464319	0
663464320	0
663464337	0
663464358	0
663464407	2
663464432	2
663464458	0
663464474	2
663464495	0
663464513	2
663464533	0
663464536	1
663464569	1
663464585	0
663464816	1
663464898	0
663464913	3
663464949	0
663464962	2
663464977	0
663464984	1
663464993	0
663465000	3
663465013	0
663465015	2
663465035	0
663465036	0
663465051	1
663465197	0
663465295	0
663465406	0
663465407	0
663465421	0
663465463	0
663465495	0
663465522	2
663465536	2
663465610	3
663465622	0
663465664	0
663465810	2
663465879	2
663465889	0
663465900	2
663465936	0
663465956	2
663465970	2
663465996	3
663466011	0
663466068	2
663466123	0
663466232	0
663466247	1
663466459	0
663466517	0
663466550	0
663466585	3
663466679	0
663466782	0
663466859	118
663466999	0
663467215	0
663467353	3
663467522	0
663467583	0
663467592	3
663467722	0
663467849	0
663467868	0
663467872	0
663467891	0
663467930	0
663467932	0
663467938	0
663467967	0
663468187	2
663468297	1
663468305	0
663468473	3
663468542	0
663468546	0
663468612	3
663468636	1
663468678	0
663468689	0
663468775	0
663468777	0
663468791	0
663468866	0
663468908	0
663469026	0
663469051	0
663469232	0
663469325	0
663469481	0
663469487	0
663469571	0
663469575	0
663469694	0
663469715	0
663469802	0
663469954	0
663470033	0
663470198	0
663470215	0
663470239	0
663470240	0
663470243	0
663470404	0
663470445	0
663470449	0
663470472	1
663470473	0
663470542	0
663470563	0
663470625	0
663470627	1
663470639	0
663470691	0
663470726	0
663470735	1
663470773	0
663470912	0
663470940	0
663471091	0
663471116	0
663471121	0
663471161	0
663471167	0
663471321	0
663471427	0
663471621	0
663471724	0
663471794	2
663471813	0
663471863	118
663471870	2
663471901	1
663471902	0
663471961	0
663472056	0
663472089	0
663472122	118
663472143	2
663472163	2
663472205	2
663472275	2
663472294	0
663472371	0
663472387	118
663472457	0
663472625	0
663472639	0
